Date,Close
10/1/2012 16:00:00,45.81
10/2/2012 16:00:00,45.86
10/3/2012 16:00:00,46.28
10/4/2012 16:00:00,47.26
10/5/2012 16:00:00,47.05
10/8/2012 16:00:00,46.57
10/9/2012 16:00:00,46.11
10/10/2012 16:00:00,45.78
10/11/2012 16:00:00,45.2
10/12/2012 16:00:00,44.62
10/15/2012 16:00:00,44.5
10/16/2012 16:00:00,44.08
10/17/2012 16:00:00,44.72
10/18/2012 16:00:00,45.78
10/19/2012 16:00:00,45.16
10/22/2012 16:00:00,44.77
10/23/2012 16:00:00,44.07
10/24/2012 16:00:00,44.23
10/25/2012 16:00:00,44.25
10/26/2012 16:00:00,44.73
10/31/2012 16:00:00,44.64
11/1/2012 16:00:00,45.14
11/2/2012 16:00:00,44.52
11/5/2012 16:00:00,44.2
11/6/2012 16:00:00,44.3
11/7/2012 16:00:00,43.19
11/8/2012 16:00:00,42.61
11/9/2012 16:00:00,42.64
11/12/2012 16:00:00,42.56
11/13/2012 16:00:00,42.54
11/14/2012 16:00:00,42.24
11/15/2012 16:00:00,41.7
11/16/2012 16:00:00,41.4
11/19/2012 16:00:00,42.81
11/20/2012 16:00:00,42.82
11/21/2012 16:00:00,43.16
11/23/2012 16:00:00,43.76
11/26/2012 16:00:00,43.3
11/27/2012 16:00:00,42.98
11/28/2012 16:00:00,43.56
11/29/2012 16:00:00,44.01
11/30/2012 16:00:00,44.12
12/3/2012 16:00:00,44.1
12/4/2012 16:00:00,43.67
12/5/2012 16:00:00,44.1
12/6/2012 16:00:00,44.45
12/7/2012 16:00:00,44.41
12/10/2012 16:00:00,44.03
12/11/2012 16:00:00,44.44
12/12/2012 16:00:00,44.79
12/13/2012 16:00:00,44.52
12/14/2012 16:00:00,44.21
12/17/2012 16:00:00,44.12
12/18/2012 16:00:00,43.87
12/19/2012 16:00:00,43.38
12/20/2012 16:00:00,43.81
12/21/2012 16:00:00,43.57
12/24/2012 16:00:00,43.54
12/26/2012 16:00:00,43.45
12/27/2012 16:00:00,43.48
12/28/2012 16:00:00,42.9
12/31/2012 16:00:00,43.27
1/2/2013 16:00:00,44.27
1/3/2013 16:00:00,44.06
1/4/2013 16:00:00,44.3
1/7/2013 16:00:00,44.69
1/8/2013 16:00:00,43.1
1/9/2013 16:00:00,43
1/10/2013 16:00:00,43.59
1/11/2013 16:00:00,43.3
1/14/2013 16:00:00,42.59
1/15/2013 16:00:00,41.97
1/16/2013 16:00:00,41.51
1/17/2013 16:00:00,42.13
1/18/2013 16:00:00,42.54
1/22/2013 16:00:00,42.94
1/23/2013 16:00:00,42.79
1/24/2013 16:00:00,42.59
1/25/2013 16:00:00,42.67
1/28/2013 16:00:00,42.77
1/29/2013 16:00:00,43.5
1/30/2013 16:00:00,43.61
1/31/2013 16:00:00,43.61
2/1/2013 16:00:00,44.56
2/4/2013 16:00:00,44.52
2/5/2013 16:00:00,44.56
2/6/2013 16:00:00,44.75
2/7/2013 16:00:00,44.46
2/8/2013 16:00:00,44.35
2/11/2013 16:00:00,44.32
2/12/2013 16:00:00,44.44
2/13/2013 16:00:00,44.52
2/14/2013 16:00:00,44.33
2/15/2013 16:00:00,44.4
2/19/2013 16:00:00,44.5
2/20/2013 16:00:00,44.92
2/21/2013 16:00:00,45.12
2/22/2013 16:00:00,45.4
2/25/2013 16:00:00,45.72
2/26/2013 16:00:00,46.12
2/27/2013 16:00:00,46.35
2/28/2013 16:00:00,46.53
3/1/2013 16:00:00,46.72
3/4/2013 16:00:00,47.11
3/5/2013 16:00:00,47.69
3/6/2013 16:00:00,47.28
3/7/2013 16:00:00,47.48
3/8/2013 16:00:00,47.96
3/11/2013 16:00:00,47.81
3/12/2013 16:00:00,48.36
3/13/2013 16:00:00,47.94
3/14/2013 16:00:00,48.48
3/15/2013 16:00:00,48.02
3/18/2013 16:00:00,48.75
3/19/2013 16:00:00,48.95
3/20/2013 16:00:00,48.6
3/21/2013 16:00:00,48.8
3/22/2013 16:00:00,49.02
3/25/2013 16:00:00,49.16
3/26/2013 16:00:00,49.48
3/27/2013 16:00:00,48.94
3/28/2013 16:00:00,49.15
4/1/2013 16:00:00,49.22
4/2/2013 16:00:00,49.5
4/3/2013 16:00:00,48.99
4/4/2013 16:00:00,49.3
4/5/2013 16:00:00,49.56
4/8/2013 16:00:00,49.43
4/9/2013 16:00:00,49.36
4/10/2013 16:00:00,49.86
4/11/2013 16:00:00,50.51
4/12/2013 16:00:00,50.86
4/15/2013 16:00:00,50.64
4/16/2013 16:00:00,50.46
4/17/2013 16:00:00,49.54
4/18/2013 16:00:00,50.91
4/19/2013 16:00:00,52.25
4/22/2013 16:00:00,52.19
4/23/2013 16:00:00,52.32
4/24/2013 16:00:00,51.8
4/25/2013 16:00:00,53.22
4/26/2013 16:00:00,53.63
4/29/2013 16:00:00,53.46
4/30/2013 16:00:00,53.91
5/1/2013 16:00:00,52.4
5/2/2013 16:00:00,52.53
5/3/2013 16:00:00,52.68
5/6/2013 16:00:00,52.05
5/7/2013 16:00:00,52.92
5/8/2013 16:00:00,53.11
5/9/2013 16:00:00,52.71
5/10/2013 16:00:00,52.89
5/13/2013 16:00:00,52.55
5/14/2013 16:00:00,53.17
5/15/2013 16:00:00,53.6
5/16/2013 16:00:00,53.2
5/17/2013 16:00:00,53.35
5/20/2013 16:00:00,52.74
5/21/2013 16:00:00,52.07
5/22/2013 16:00:00,51.47
5/23/2013 16:00:00,51.89
5/24/2013 16:00:00,51.39
5/28/2013 16:00:00,50.82
5/29/2013 16:00:00,49.57
5/30/2013 16:00:00,49.08
5/31/2013 16:00:00,48.48
6/3/2013 16:00:00,48.66
6/4/2013 16:00:00,48.84
6/5/2013 16:00:00,48.3
6/6/2013 16:00:00,49.97
6/7/2013 16:00:00,50.24
6/10/2013 16:00:00,50.53
6/11/2013 16:00:00,50.18
6/12/2013 16:00:00,49.9
6/13/2013 16:00:00,50.64
6/14/2013 16:00:00,51.07
6/17/2013 16:00:00,50.71
6/18/2013 16:00:00,51.55
6/19/2013 16:00:00,50.05
6/20/2013 16:00:00,48.96
6/21/2013 16:00:00,49.52
6/24/2013 16:00:00,49.12
6/25/2013 16:00:00,50.44
6/26/2013 16:00:00,50.66
6/27/2013 16:00:00,51
6/28/2013 16:00:00,50.34
7/1/2013 16:00:00,50.36
7/2/2013 16:00:00,50.63
7/3/2013 16:00:00,51.01
7/5/2013 16:00:00,51.3
7/8/2013 16:00:00,51.17
7/9/2013 16:00:00,50.96
7/10/2013 16:00:00,50.54
7/11/2013 16:00:00,51.21
7/12/2013 16:00:00,50.41
7/15/2013 16:00:00,49.96
7/16/2013 16:00:00,50.28
7/17/2013 16:00:00,50.74
7/18/2013 16:00:00,49.97
7/19/2013 16:00:00,49.95
7/22/2013 16:00:00,50.27
7/23/2013 16:00:00,50.36
7/24/2013 16:00:00,50.38
7/25/2013 16:00:00,50.71
7/26/2013 16:00:00,51.02
7/29/2013 16:00:00,51.49
7/30/2013 16:00:00,50.42
7/31/2013 16:00:00,49.48
8/1/2013 16:00:00,50.01
8/2/2013 16:00:00,50.25
8/5/2013 16:00:00,50.21
8/6/2013 16:00:00,50.09
8/7/2013 16:00:00,49.93
8/8/2013 16:00:00,49.62
8/9/2013 16:00:00,49.32
8/12/2013 16:00:00,49.65
8/13/2013 16:00:00,49.15
8/14/2013 16:00:00,48.89
8/15/2013 16:00:00,48.54
8/16/2013 16:00:00,47.71
8/19/2013 16:00:00,47.5
8/20/2013 16:00:00,47.91
8/21/2013 16:00:00,47.27
8/22/2013 16:00:00,47.02
8/23/2013 16:00:00,47.61
8/26/2013 16:00:00,46.94
8/27/2013 16:00:00,46.95
8/28/2013 16:00:00,46.56
8/29/2013 16:00:00,47.82
8/30/2013 16:00:00,47.38
9/3/2013 16:00:00,46.01
9/4/2013 16:00:00,46.78
9/5/2013 16:00:00,46.64
9/6/2013 16:00:00,46.34
9/9/2013 16:00:00,45.91
9/10/2013 16:00:00,46.47
9/11/2013 16:00:00,46.52
9/12/2013 16:00:00,47.35
9/13/2013 16:00:00,47.76
9/16/2013 16:00:00,48.3
9/17/2013 16:00:00,48.57
9/18/2013 16:00:00,48.72
9/19/2013 16:00:00,48.51
9/20/2013 16:00:00,47.78
9/23/2013 16:00:00,47.98
9/24/2013 16:00:00,47.27
9/25/2013 16:00:00,46.95
9/26/2013 16:00:00,47.67
9/27/2013 16:00:00,47
9/30/2013 16:00:00,46.68
10/1/2013 16:00:00,46.99
10/2/2013 16:00:00,46.79
10/3/2013 16:00:00,47.01
10/4/2013 16:00:00,47.1
10/7/2013 16:00:00,47.29
10/8/2013 16:00:00,46.05
10/9/2013 16:00:00,46.2
10/10/2013 16:00:00,46.86
10/11/2013 16:00:00,47.09
10/14/2013 16:00:00,46.81
10/15/2013 16:00:00,46.32
10/16/2013 16:00:00,47.25
10/17/2013 16:00:00,48.9
10/18/2013 16:00:00,50.01
10/21/2013 16:00:00,50.58
10/22/2013 16:00:00,51.14
10/23/2013 16:00:00,50.82
10/24/2013 16:00:00,50.42
10/25/2013 16:00:00,50.71
10/28/2013 16:00:00,50.57
10/29/2013 16:00:00,51.09
10/30/2013 16:00:00,50.53
10/31/2013 16:00:00,50.51
11/1/2013 16:00:00,50.49
11/4/2013 16:00:00,51.08
11/5/2013 16:00:00,50.1
11/6/2013 16:00:00,50.61
11/7/2013 16:00:00,50.17
11/8/2013 16:00:00,50.2
11/11/2013 16:00:00,49.96
11/12/2013 16:00:00,50.16
11/13/2013 16:00:00,49.99
11/14/2013 16:00:00,50.27
11/15/2013 16:00:00,50.31
11/18/2013 16:00:00,50.76
11/19/2013 16:00:00,50.78
11/20/2013 16:00:00,50.4
11/21/2013 16:00:00,50.38
11/22/2013 16:00:00,50.22
11/25/2013 16:00:00,50.01
11/26/2013 16:00:00,50.05
11/27/2013 16:00:00,49.93
11/29/2013 16:00:00,49.62
12/2/2013 16:00:00,49.26
12/3/2013 16:00:00,49.6
12/4/2013 16:00:00,49.37
12/5/2013 16:00:00,48.91
12/6/2013 16:00:00,49.48
12/9/2013 16:00:00,49.57
12/10/2013 16:00:00,49.05
12/11/2013 16:00:00,48.49
12/12/2013 16:00:00,48.13
12/13/2013 16:00:00,47.84
12/16/2013 16:00:00,48.26
